北京理工大学的兵器科学与技术的评级是A+,北京理工大学的兵器科学与技术的评级是什么？
北京理工大学的机械工程的评级是A,北京理工大学的机械工程的评级是什么？
北京理工大学的控制科学与工程的评级是A,北京理工大学的控制科学与工程的评级是什么？
北京理工大学的光学工程的评级是A-,北京理工大学的光学工程的评级是什么？
北京理工大学的材料科学与工程的评级是A-,北京理工大学的材料科学与工程的评级是什么？
北京理工大学的信息与通信工程的评级是A-,北京理工大学的信息与通信工程的评级是什么？
北京理工大学的计算机科学与技术的评级是A-,北京理工大学的计算机科学与技术的评级是什么？
北京理工大学的化学工程与技术的评级是A-,北京理工大学的化学工程与技术的评级是什么？
北京理工大学的管理科学与工程的评级是A-,北京理工大学的管理科学与工程的评级是什么？
北京理工大学的力学的评级是B+,北京理工大学的力学的评级是什么？
北京理工大学的动力工程及工程热物理的评级是B+,北京理工大学的动力工程及工程热物理的评级是什么？
北京理工大学的电子科学与技术的评级是B+,北京理工大学的电子科学与技术的评级是什么？
北京理工大学的软件工程的评级是B+,北京理工大学的软件工程的评级是什么？
北京理工大学的安全科学与工程的评级是B+,北京理工大学的安全科学与工程的评级是什么？
北京理工大学的工商管理的评级是B+,北京理工大学的工商管理的评级是什么？
北京理工大学的应用经济学的评级是B,北京理工大学的应用经济学的评级是什么？
北京理工大学的教育学的评级是B,北京理工大学的教育学的评级是什么？
北京理工大学的仪器科学与技术的评级是B,北京理工大学的仪器科学与技术的评级是什么？
北京理工大学的航空宇航科学与技术的评级是B,北京理工大学的航空宇航科学与技术的评级是什么？
北京理工大学的生物医学工程的评级是B,北京理工大学的生物医学工程的评级是什么？
北京理工大学的设计学的评级是B,北京理工大学的设计学的评级是什么？
北京理工大学的理论经济学的评级是C+,北京理工大学的理论经济学的评级是什么？
北京理工大学的法学的评级是C+,北京理工大学的法学的评级是什么？
北京理工大学的马克思主义理论的评级是C+,北京理工大学的马克思主义理论的评级是什么？
北京理工大学的外国语言文学的评级是C+,北京理工大学的外国语言文学的评级是什么？
北京理工大学的公共管理的评级是C,北京理工大学的公共管理的评级是什么？
北京理工大学的A+级学科有1个,北京理工大学的A+级学科有几个？
兵器科学与技术,北京理工大学的A+级学科有哪些？
北京理工大学的A级学科有2个,北京理工大学的A级学科有几个？
机械工程、控制科学与工程,北京理工大学的A级学科有哪些？
北京理工大学的A-级学科有6个,北京理工大学的A-级学科有几个？
光学工程、材料科学与工程、信息与通信工程、计算机科学与技术、化学工程与技术、管理科学与工程,北京理工大学的A-级学科有哪些？
北京理工大学的B+级学科有6个,北京理工大学的B+级学科有几个？
力学、动力工程及工程热物理、电子科学与技术、软件工程、安全科学与工程、工商管理,北京理工大学的B+级学科有哪些？
北京理工大学的B级学科有6个,北京理工大学的B级学科有几个？
应用经济学、教育学、仪器科学与技术、航空宇航科学与技术、生物医学工程、设计学,北京理工大学的B级学科有哪些？
北京理工大学的C+级学科有4个,北京理工大学的C+级学科有几个？
理论经济学、法学、马克思主义理论、外国语言文学,北京理工大学的C+级学科有哪些？
北京理工大学的C级学科有1个,北京理工大学的C级学科有几个？
公共管理,北京理工大学的C级学科有哪些？
兵器科学与技术,北京理工大学最强势的学科或专业是什么？
兵器科学与技术、机械工程、控制科学与工程,北京理工大学的强势学科和专业有哪些？
兵器科学与技术、机械工程、控制科学与工程,北京理工大学评级A级及以上的学科和专业有哪些？
